Species,Longitude,Latitude
hsp,71.739778,23.13584
hsp,69.664167,23.251389
hsp,72.793071,21.19381
hsp,70.200987,22.602847
hsp,70.59572,21.141964
hsp,72.403035,23.133138
hsp,73.278648,23.997133
hsp,71.713257,23.159532
hsp,72.406769,23.135424
hsp,72.43365,22.376514
hsp,70.195942,22.603985
hsp,70.299432,21.159695
hsp,68.613224,23.227781
hsp,72.94771,22.58428
hsp,71.318398,22.153005
hsp,69.649479,21.630822
hsp,70.362067,21.672943
hsp,69.2697,23.548724
hsp,71.206405,21.595367
hsp,70.450306,20.895535
hsp,69.890814,23.657447
hsp,73.144087,22.342933
hsp,69.768092,23.16639
hsp,72.33299,24.33011
hsp,69.899311,23.187707
hsp,71.087364,23.387403
hsp,73.27971,23.999034
hsp,70.763139,22.284975
hsp,70.978133,23.217588
hsp,70.813086,20.718923
hsp,71.979546,22.931283
hsp,71.314341,22.151181
hsp,72.023143,22.792344
hsp,73.278991,22.307421
hsp,70.061534,22.467168
hsp,73.009161,21.610096
hsp,70.772252,20.986073
hsp,69.7234,23.1946
hsp,70.358634,21.533091
hsp,73.216796,22.468385
hsp,71.569061,23.208534
hsp,73.480854,22.169124
hsp,70.716312,23.196602
hsp,69.2488,23.587115
hsp,72.528273,24.393557
hsp,72.395015,23.111109
hsp,69.7165,23.365
hsp,72.568646,22.425152
hsp,69.733,23.1909
hsp,72.41675,23.09286
hsp,69.315147,23.582238
hsp,72.092671,21.703449
hsp,71.378418,21.525555
hsp,72.510688,24.426014
hsp,70.463283,20.849411
hsp,69.7055,23.2275
hsp,69.7357,23.1934
hsp,70.6311,24.1167
hsp,72.37799,23.13942
hsp,72.972093,20.757157
hsp,71.948004,21.690609
hsp,70.472413,20.842938
hsp,72.422891,23.057188
hsp,71.231269,22.306015
hsp,70.761094,21.005545
hsp,69.7137,23.206
hsp,72.185352,21.757198
hsp,70.57851,21.183
hsp,71.024766,21.051498
hsp,71.314233,22.150661
hsp,70.418844,20.895622
hsp,71.316977,22.155591
hsp,70.809739,22.30351
hsp,70.055712,22.498099
hsp,71.605453,23.349821
hsp,71.320024,21.482892
hsp,72.028358,22.052405
hsp,69.756103,21.564544
hsp,69.7275,23.1972
hsp,69.7124,23.2193
hsp,72.662458,21.155718
hsp,71.774922,23.112694
hsp,72.191677,23.846435
hsp,69.20637,23.24901
hsp,73.668823,22.350711
hsp,72.631989,22.514143
hsp,69.731986,21.544729
hsp,71.109625,21.545918
hsp,70.211005,23.87846
hsp,72.451814,23.00537
hsp,72.428198,23.033455
hsp,71.6437,22.7159
hsp,71.324213,21.564288
hsp,73.18624,22.461723
hsp,72.580863,23.060316
hsp,72.36958,23.17782
hsp,73.694615,22.554733
hsp,72.625079,22.560488
hsp,70.285764,20.954496
hsp,72.704086,21.217861
hsp,69.201471,23.244317
hsp,70.57831,21.18305
hsp,72.41528,23.09434
hsp,69.268384,23.551927
hsp,69.342068,22.823042
hsp,70.425036,21.499621
hsp,72.284085,21.599004
hsp,68.809733,23.204037
hsp,72.94855,22.58329
hsp,72.666793,23.15617
hsp,72.861972,24.335132
hsp,72.40921,23.15418
hsp,71.739006,23.207587
hsp,70.524674,21.50163
hsp,73.168559,22.281533
hsp,71.76151,23.283597
hsp,70.706163,21.032466
hsp,71.904144,23.393942
hsp,72.333684,23.627883
hsp,72.677928,23.23618
hsp,72.20173,23.844642
hsp,70.787778,21.142222
hsp,69.638035,23.177611
hsp,70.843457,22.293511
hsp,70.893027,21.052074
hsp,72.19245,23.846435
hsp,72.623321,23.111732
hsp,70.870874,22.300662
hsp,69.232096,23.58784
hsp,71.644507,23.343595
hsp,70.283805,21.524088
hsp,69.7083,23.1909
hsp,72.627576,23.188328
hsp,69.747777,21.578222
hsp,72.072423,21.698022
hsp,69.718,23.2346
hsp,72.436944,22.533611
hsp,69.722,23.201
hsp,69.629265,21.641707
hsp,72.750644,23.975381
hsp,70.518107,20.825472
hsp,73.670883,22.352934
hsp,72.530344,24.256903
hsp,72.326364,23.132325
hsp,72.804422,21.219021
